Class Name;ATFD;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
main.java.Car;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.Client;0;5;3;1;12.8;2948.1158;0.0685;49;26;230.3215;1;53.572;10;15;0;3;3;19;0;4;16;0;0;10;0.3333;1.0;4
main.java.FamilyVehicleFactory;0;6;0;1;0.0;0.0;0.0;8;5;18.5754;2;74.1428;0;2;0;2;0;16;0;2;16;0;0;2;0.0;1.0;2
main.java.PickupTruck;1;2;0;1;3.3333;120.0;0.0081;12;8;36.0;1;72.1206;2;2;0;2;0;16;0;2;16;0;0;3;1.0;1.0;2
main.java.SUV;1;2;0;1;3.3333;120.0;0.0081;12;8;36.0;1;72.1206;2;2;0;2;0;16;0;2;16;0;0;3;1.0;1.0;2
main.java.Sedan;1;2;0;1;3.3333;120.0;0.0081;12;8;36.0;1;72.1206;2;2;0;2;0;16;0;2;16;0;0;3;1.0;1.0;2
main.java.SportsCar;1;2;0;1;3.3333;120.0;0.0081;12;8;36.0;1;72.1206;2;2;0;2;0;16;0;2;16;0;0;3;1.0;1.0;2
main.java.SportsVehicleFactory;0;6;0;1;0.0;0.0;0.0;8;5;18.5754;2;74.1428;0;2;0;2;0;16;0;2;16;0;0;2;0.0;1.0;2
main.java.Truck;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
main.java.VehicleFactory;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
